daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Jing Wong,"Cảnh Điềm, Châu nhuận phát, Đỗ Văn Trạch, Tạ Đình Phong, ",Phim Hành động,2014,the man from macau,người đến từ macau,Phim Hồng Kong,Phim Hành động
Brian TaylorMark Neveldine,"Ciarán Hinds, Idris Elba, Nicolas Cage, ",Phim Hành động,2011,ghost rider spirit of vengeance,ma tốc độ 2 linh hồn báo thù,Phim Mỹ,Phim Hành động
Sylvester Stallone,"Julie Benz, Matthew Marsden, Sylvester Stallone, ",Phim Hành động,2008,rambo 4,rambo và myanmar,Phim Mỹ,Phim Hành động
Caradog W. James,"Caity Lotz, Denis Lawson, Sam Hazeldine, Toby Stephens, ",Phim Hành động,2013,sát thủ gợi cảm,the machine,Phim Anh,Phim Hành động
Đinh Thạnh,"Cảnh Điềm, Hoàng Bột, Lưu Diệp, Thành Long, ",Phim Hành động,2013,police story,câu chuyện cảnh sát 6,Phim Trung Quốc,Phim Hành động
Peter MacDonald,"Marc de Jonge, Richard Crenna, Sylvester Stallone, ",Phim Hành động,1988,rambo: first blood 3,rambo: đổ máu phần 3,Phim Mỹ,Phim Chiến Tranh
Jaume Collet-Serra,"Julianne Moore, Liam Neeson, Scoot McNairy, ",Phim Hành động,2014,non stop,không dừng lại,Phim Mỹ,Phim Hành động
Ted Kotcheff,"Brian Dennehy, Richard Crenna, Sylvester Stallone, ",Phim Hành động,1982,rambo: first blood,rambo: đổ máu,Phim Mỹ,Phim Hành động
Steven R. Monroe,"Cerina Vincent, Jason Wiles, Jeff Branson, ",Phim Hành động,2014,wrong way to die,sai lầm chết người,Phim Mỹ,Phim Hành động
Dương Minh Lợi,"Chu Hậu Nhậm, Lý Minh Thuận, Phan Linh Linh, Trần Hán Vỹ, ",Phim Hành động,1996,of cops & men,trinh sát song hùng,Phim Đài Loan,Phim Hành động
Kim Kyu Tae,"Gong Hyo Jin, Jo In Sung, ",Phim Hành động,2013,"it's okay, that's love",rơi vào lưới tình,Phim Hàn Quốc,Phim Hành động
Đang cập nhật,"Jessica, Tyler Kwon, ",Phim Hành động,2014,thvl2,lệnh truyền của thiên sứ,Phim Đài Loan,Phim Hành động
Jae rim Han,"Dal-su Oh, Il hwa Choi, Kang ho Song, ",Phim Hành động,2007,the show must go on,buổi diễn phải tiếp tục,Phim Hàn Quốc,Phim Hành động
Đang cập nhật,"Atthama Chiwanitchapan, Jarinya Sirimonkonsakul, Rattapoom Kotonzap, ",Phim Hành động,2008,superstar love story,tình đời siêu sao,Phim Thái Lan,Phim Hành động
Phil Lord,"Channing Tatum, Jonah Hill, Peter Stormare, Wyatt Russell, ",Phim Hành động,2013,22 jump street,cớm đại học,Phim Mỹ,Phim Hành động
John Suits,"Garret Dillahunt, Katie Cassidy, Michelle Trachtenberg, ",Phim Hành động,2014,the scribbler,tiêu diệt bản ngã,Phim Mỹ,Phim Hành động
John Slattery,"Christina Hendricks, Philip Seymour Hoffman, Richard Jenkins, ",Phim Hành động,2014,god's pocket,ván bài của chúa,Phim Mỹ,Phim Hành động
David A. Armstrong,"Jessica Szohr, Jonathan Bennett, Marton csokas, Nikki Reed, ",Phim Hành động,2013,pawn,con tốt,Phim Mỹ,Phim Hành động
Brian A Miller,"Bruce Willis, Jason Patric, John Cusack, ",Phim Hành động,2014,the prince,mật danh,Phim Mỹ,Phim Hành động
Cha Yeong Hoon,"Han Juwan, Jeon Hye Bin, Lee Jun Ki, Nam Sang Mi, Yoo Oh-Seong, ",Phim Hành động,2014,joseon gunman,tay súng joseon,Phim Hàn Quốc,Phim Hành động
Aaron Harvey,"Deborah Ann Woll, Malin Akerman, Nikki Reed, ",Phim Hành động,2012,catch 44,truy lùng 44,Phim Mỹ,Phim Hành động
Blacky Ko Sau Leung,"Ann Bridgewater, Blacky Ko, Châu Tinh Trì, Eric Tsang, Jacky Cheung, John Sham, ",Phim Hành động,1990,curry and pepper,vỏ quýt dày móng tay nhọn,Phim Trung Quốc,Phim Hài
Vương Tinh,"Lê Minh, Lương Vinh Kỳ, Ngô Trấn Vũ, Trần Tiểu Xuân, Viên Vịnh Nghi, ",Phim Hành động,1996,god of gamblers 3 the early stage,đổ thần 3,Phim Hồng Kong,Phim Hành động
Vương Tinh,"Châu nhuận phát, Lưu Đức Hòa, Trương Mẫn, Vương Tổ Hiền, ",Phim Hành động,1989,god of gamblers,thần bài 1,Phim Hồng Kong,Phim Hành động
