daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Choi Ji Young,"Ahn Nae Sang, Im Se Mi, Kim Se jung, Kim Yong Rim, Park Jin Woo, ",Phim Hài,2015,love on a rooftop,chung một mái nhà,Phim Hàn Quốc,Phim Hài
Park Dae Min,"Cho Jae hyun, Kim Min seok, Ko Chang seok, Ra Mi ran, Yoo Seung Ho, ",Phim Hài,2016,seondal: the man who sells the river,bộ tứ lừa đảo,Phim Hàn Quốc,Phim Hài
Renny Harlin,"Bingbing Fan, Jackie Chan, Johnny Knoxville, ",Phim Hài,2016,skiptrace,tẩu thoát ngoạn mục,Phim Trung Quốc,Phim Hài
Johnnie To Kei Fung,"Châu Tinh Trì, Ngô Mẫn Đạt, Trương Mạn Ngọc, ",Phim Hài,1993,the mad monk,tế công,Phim Hồng Kong,Phim Hài
Vương Tinh,"Châu Hải My, Châu Tinh Trì, Huỳnh Thu Sanh, Trương Mẫn, ",Phim Hài,1993,fight back to school 3,trường học uy long 3,Phim Hồng Kong,Phim Hài
Enrique Begne,"Eric Roberts, Joey Morgan, Omar Chaparro, ",Phim Hài,2016,compadres,chiến hữu,Phim Mỹ,Phim Hài
Lưu Sĩ Du,"Châu Tinh Trì, Đổng Phiếu, Trần Đức Dung, ",Phim Hài,1990,look out officer,sư huynh trúng tà,Phim Hồng Kong,Phim Hài
Brian Cavallaro,"Don Fowler, Nicole Henry, Todd Lawhorne, ",Phim Hài,2004,in plain sight,mục tiêu cân bằng,Phim Mỹ,Phim Hài
Hồng Kim Bảo,"Dick Wei, Hồng Kim Bảo, Isabella Wong, Nguyên Bưu, Thành Long, ",Phim Hài,1983,project a,kế hoạch a,Phim Trung Quốc,Phim Hài
Barry Sonnenfeld,"Rip Torn, Tommy Lee Jones, Will Smith, ",Phim Hài,2002,men in black 2,đặc vụ áo đen 2,Phim Mỹ,Phim Hài
Worawit Srisuparb,"Ken Theeradeth Wonpuapan, Pip Rawit Terdwong, Vicky Sunisa Jett, ",Phim Hài,2010,chaotic wedding,cuộc chiến hôn nhân,Phim Thái Lan,Phim Hài
Matthew Vaughn,"Adrian Quinton, Colin Firth, Mark Strong, ",Phim Hài,2014,kingsman the secret service,mật vụ kingsman,Phim Mỹ,Phim Hài
Gordon Chan,"Châu Tinh Trì, Cheung Man, Ngô Mẫn Đạt, Roy Cheung, Wong Chi, ",Phim Hài,1991,fight back to school,trường học uy long,Phim Hồng Kong,Phim Hài
Yong hwa Kim,"Dong Il Sung, Hee won Kim, Jiao Xu, ",Phim Hài,2013,mr. go,chú tinh tinh go,Phim Hàn Quốc,Phim Hài
Kang Hyeong cheol,"Kwak Do won, Shin Se Kyung, ",Phim Hài,2014,tazza the hidden card,thần bài sát gái,Phim Trung Quốc,Phim Hài
David Koepp,"Ewan McGregor, Gwyneth Paltrow, Johnny Depp, ",Phim Hài,2015,mortdecai,quý tộc săn tranh,Phim Mỹ,Phim Hài
Maurice Barthelemy,"Gerard Darmon, Jean Paul Rouve, Judith Godreche, ",Phim Hài,2011,low cost,máy bay giá rẻ,Phim Pháp,Phim Hài
Brett Ratner,"Chris Tucker, Jackie Chan, Max von Sydow, ",Phim Hài,2007,rush hour 3,giờ cao điểm 3,Phim Mỹ,Phim Hài
Lại Thủy Thanh,"Giả thanh, Hàn Đống, Lâu Nghệ Tiêu, Ngô Sảnh, Ngụy Thiên Tường, Triệu Viên Viên, Trương Hình Dư, Trương Mông, ",Phim Hài,2014,the deer and the cauldron,tân lộc đỉnh ký,Phim Trung Quốc,Phim Cổ Trang
Vincent Kok,"Hùng Đại Lâm, Ngô Quân Như, Tăng Chí Vĩ, ",Phim Hài,2013,hello babies,xin chào baby,Phim Trung Quốc,Phim Hài
Ryuhei Kitamura,"Tadanobu Asano, Vithaya Pansringarm, Yayaying Rhatha Phongam, ",Phim Hài,2014,lupin 3,siêu đạo chích,Phim Nhật Bản,Phim Hài
Seth MacFarlane,"Charlize Theron, Liam Neeson, Seth MacFarlane, ",Phim Hài,2014,a million ways to die in the west,triệu kiểu chết miền viễn tây,Phim Mỹ,Phim Hài
Hồng Kim Bảo,"Hồng Kim Bảo, Thành Long, Yuen Biao, ",Phim Hài,1984,wheels on meals,quán ăn lưu động,Phim Hồng Kong,Phim Hài
Brian Robbins,"Cliff Curtis, Eddie Murphy, Kerry Washington, ",Phim Hài,2012,a thousand words,một nghìn từ cuối đời,Phim Mỹ,Phim Hài
Lee Lik Chi,"Huang Xiao Ming, Huỳnh Hiểu Minh, Nat Chan Pak, Richie Ren Yin Chi, Zhang Jing Chu, ",Phim Hài,1993,flirting scholar,đường bá hổ điểm thu hương,Phim Trung Quốc,Phim Hài
Scott Foley,"Amy Acker, Ava Carpinello, James Carpinello, ",Phim Hài,2014,let's kill ward's wife,phi tang vợ ward,Phim Mỹ,Phim Hài
Etan Cohen,"Alison Brie, Kevin Hart, Will Ferrell, ",Phim Hài,2015,get hard,tập làm côn đồ,Phim Mỹ,Phim Hài
Lee Yeon woo,"Kim Young Kwang, Lee Jong Suk, Lee Se Young, Park Bo Young, ",Phim Hài,2014,hot young bloods,tuổi trẻ sôi sục,Phim Hàn Quốc,Phim Hài
Teddy Chan,"Eric Tsang, Jackie Chan, Min Kim, ",Phim Hài,2001,the accidental spy,đặc vụ mê thành,Phim Trung Quốc,Phim Hài
Đang cập nhật,Đang cập nhật,Phim Hài,2013,thiếc tướng quân,nhân gian huyền ảo,Phim Đài Loan,Phim Cổ Trang
Gérard Krawczyk,"Bernard Farcy, Frédéric Diefenthal, Samy Naceri, ",Phim Hài,2003,taxi 3,quái xế 3,Phim Mỹ,Phim Hài
Jacques Besnard,"Bernard Blier, Louis de Funès, Maria Rosa Rodriguez, ",Phim Hài,1966,le grand restaurant,nhà hàng hạng sang,Phim Mỹ,Phim Hài
Thomas McCarthy,"Adam Sandler, Dan Stevens, Ellen Barkin, ",Phim Hài,2014,the cobbler,anh chàng đặc biệt,Phim Mỹ,Phim Hài
Đang cập nhật,"Ca Ming, Gai Ke, Guo Jia Ming, Na Wei, Wang Li Yun, Wang Yu Chang, ",Phim Hài,2015,three queens,cuộc chiến giữa ba mẫu hậu,Phim Trung Quốc,Phim Hài
Đặng An Ninh,"Hồ Binh, Lâm Canh Tân, Lâm Tâm Như, Ngô Á Hinh, Trương Luân Thạc, Uông Đông Thành, ",Phim Hài,2013,go go go,tỷ tỷ xông pha,Phim Đài Loan,Phim Hài
Seth MacFarlane,"Amanda Seyfried, Mark Wahlberg, Seth MacFarlane, ",Phim Hài,2015,ted 2,chú gấu ted 2,Phim Mỹ,Phim Hài
Paul Feig,"Jim Parsons, Rihanna, Steve Martin, ",Phim Hài,2015,spy,quý bà điệp viên,Phim Mỹ,Phim Hài
Paul Chung,"Chapman To, Eric Tsang, Mark Lee, ",Phim Hài,2015,king of mahjong,vua mạc chược,Phim Khác,Phim Hài
Andy Fickman,"Eduardo Verastegui, Kevin James, Raini Rodriguez, ",Phim Hài,2015,paul blart mall cop 2,cảnh sát paul blart 2,Phim Mỹ,Phim Hài
Jing Wong,"Châu Tú Na, Đỗ Văn Trạch, ",Phim Hài,2014,mr & mrs player,vợ chồng dân chơi,Phim Trung Quốc,Phim Hài
Anne Fletcher,"Matthew Del Negro, Reese Witherspoon, Sofia Vergara, ",Phim Hài,2015,hot pursuit,cặp đôi hoàn cảnh,Phim Mỹ,Phim Hài
Melanie Mayron,"Donn Lamkin, Linden Ashby, Meaghan Martin, ",Phim Hài,2011,mean girls 2,những cô nàng lắm chiêu 2,Phim Mỹ,Phim Hài
Jing Wong,"Châu Tinh Trì, Lưu Đức Hòa, Ngô Mẫn Đạt, Triệu Mẫn, ",Phim Hài,1991,god of gamblers ii,thần bài 2,Phim Hồng Kong,Phim Hài
Henri Wong,"Ho Josie, Trần Hạo Nam, Trịnh Y Kiện, ",Phim Hài,2015,full strike,ranh giới tội phạm,Phim Hồng Kong,Phim Hài
Đang cập nhật,"Pirath Nitipaisankul, ",Phim Hài,2013,market love story,vận may bất ngờ,Phim Thái Lan,Phim Hài
Doug Ellin,"Adrian Grenier, Jeremy Piven, Jerry Ferrara, Kevin Connolly, Kevin Dillon, ",Phim Hài,2015,entourage,đoàn tùy tùng,Phim Mỹ,Phim Hài
Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, ",Phim Hài,2009,3 idiots,3 chàng ngốc,Phim Ấn Độ,Phim Hài
Đổng Thành Bằng,"Đổng Thành Bằng, Liễu Nham, Viên San San, ",Phim Hài,2015,jian bing man,siêu nhân bánh rán,Phim Trung Quốc,Phim Hài
Jon Turteltaub,"Michael Douglas, Morgan Freeman, Robert De Niro, ",Phim Hài,2013,last vegas,bô lão xì tin,Phim Mỹ,Phim Hài
Huijuan Li,"Lâm Tâm Như, Lí Đông Học, Trư Ca Lượng, ",Phim Hài,2015,the wonderful wedding,đại hỷ lâm môn,Phim Trung Quốc,Phim Hài
Bang Thuận,"Châu Du Dân, Vương Lạc Đan, ",Phim Hài,2015,detective gui,trạch nữ trinh thám quế hương,Phim Trung Quốc,Phim Hài
Hoa Tiễn Minh,"Ngô Mạnh Đạt, Ngưu Lợi, Tiêu Ân Tuấn, Trương Đình, Trương Giai Nam, ",Phim Hài,2013,stealing dragon exchanging phoenix,trộm long tráo phụng,Phim Đài Loan,Phim Cổ Trang
Yann Samuell,"Marton csokas, Michel Duchaussoy, Sophie Marceau, ",Phim Hài,2010,with love from the age of reason,thư gửi chính tôi,Phim Mỹ,Phim Hài
Vương Nhạc Luân,"Lâm Chí Dĩnh, Quách Đào, Trương Lượng, ",Phim Hài,2015,emperors holidays,kỳ nghỉ của bố,Phim Trung Quốc,Phim Hài
Felipe Joffily,"Gianne Albertoni, Marcelo Adnet, Marco Antonio Alves, ",Phim Hài,2010,muita calma nessa hora,tình huống bất ngờ,Phim Mỹ,Phim Hài
